trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
3_F_360,06:00:00,06:00:00,3001,1,"",0,,
3_F_360,06:04:00,06:04:00,3002,2,"",0,,
3_F_360,06:08:00,06:08:00,3003,3,"",0,,
3_F_360,06:12:00,06:12:00,3004,4,"",0,,
3_F_360,06:16:00,06:16:00,3005,5,"",0,,
3_F_360,06:20:00,06:20:00,3006,6,"",0,,
3_F_360,06:23:00,06:23:00,3007,7,"",0,,
3_F_360,06:26:00,06:26:00,3008,8,"",0,,
3_F_360,06:29:00,06:29:00,3009,9,"",0,,
3_F_360,06:32:00,06:32:00,3010,10,"",0,,
3_F_360,06:35:00,06:35:00,3011,11,"",0,,
3_F_375,06:15:00,06:15:00,3001,1,"",0,,
3_F_375,06:19:00,06:19:00,3002,2,"",0,,
3_F_375,06:23:00,06:23:00,3003,3,"",0,,
3_F_375,06:27:00,06:27:00,3004,4,"",0,,
3_F_375,06:31:00,06:31:00,3005,5,"",0,,
3_F_375,06:35:00,06:35:00,3006,6,"",0,,
3_F_375,06:38:00,06:38:00,3007,7,"",0,,
3_F_375,06:41:00,06:41:00,3008,8,"",0,,
3_F_375,06:44:00,06:44:00,3009,9,"",0,,
3_F_375,06:47:00,06:47:00,3010,10,"",0,,
3_F_375,06:50:00,06:50:00,3011,11,"",0,,
3_F_390,06:30:00,06:30:00,3001,1,"",0,,
3_F_390,06:34:00,06:34:00,3002,2,"",0,,
3_F_390,06:38:00,06:38:00,3003,3,"",0,,
3_F_390,06:42:00,06:42:00,3004,4,"",0,,
3_F_390,06:46:00,06:46:00,3005,5,"",0,,
3_F_390,06:50:00,06:50:00,3006,6,"",0,,
3_F_390,06:53:00,06:53:00,3007,7,"",0,,
3_F_390,06:56:00,06:56:00,3008,8,"",0,,
3_F_390,06:59:00,06:59:00,3009,9,"",0,,
3_F_390,07:02:00,07:02:00,3010,10,"",0,,
3_F_390,07:05:00,07:05:00,3011,11,"",0,,
3_F_405,06:45:00,06:45:00,3001,1,"",0,,
3_F_405,06:49:00,06:49:00,3002,2,"",0,,
3_F_405,06:53:00,06:53:00,3003,3,"",0,,
3_F_405,06:57:00,06:57:00,3004,4,"",0,,
3_F_405,07:01:00,07:01:00,3005,5,"",0,,
3_F_405,07:05:00,07:05:00,3006,6,"",0,,
3_F_405,07:08:00,07:08:00,3007,7,"",0,,
3_F_405,07:11:00,07:11:00,3008,8,"",0,,
3_F_405,07:14:00,07:14:00,3009,9,"",0,,
3_F_405,07:17:00,07:17:00,3010,10,"",0,,
3_F_405,07:20:00,07:20:00,3011,11,"",0,,
3_F_420,07:00:00,07:00:00,3001,1,"",0,,
3_F_420,07:04:00,07:04:00,3002,2,"",0,,
3_F_420,07:08:00,07:08:00,3003,3,"",0,,
3_F_420,07:12:00,07:12:00,3004,4,"",0,,
3_F_420,07:16:00,07:16:00,3005,5,"",0,,
3_F_420,07:20:00,07:20:00,3006,6,"",0,,
3_F_420,07:23:00,07:23:00,3007,7,"",0,,
3_F_420,07:26:00,07:26:00,3008,8,"",0,,
3_F_420,07:29:00,07:29:00,3009,9,"",0,,
3_F_420,07:32:00,07:32:00,3010,10,"",0,,
3_F_420,07:35:00,07:35:00,3011,11,"",0,,
3_F_435,07:15:00,07:15:00,3001,1,"",0,,
3_F_435,07:19:00,07:19:00,3002,2,"",0,,
3_F_435,07:23:00,07:23:00,3003,3,"",0,,
3_F_435,07:27:00,07:27:00,3004,4,"",0,,
3_F_435,07:31:00,07:31:00,3005,5,"",0,,
3_F_435,07:35:00,07:35:00,3006,6,"",0,,
3_F_435,07:38:00,07:38:00,3007,7,"",0,,
3_F_435,07:41:00,07:41:00,3008,8,"",0,,
3_F_435,07:44:00,07:44:00,3009,9,"",0,,
3_F_435,07:47:00,07:47:00,3010,10,"",0,,
3_F_435,07:50:00,07:50:00,3011,11,"",0,,
3_F_450,07:30:00,07:30:00,3001,1,"",0,,
3_F_450,07:34:00,07:34:00,3002,2,"",0,,
3_F_450,07:38:00,07:38:00,3003,3,"",0,,
3_F_450,07:42:00,07:42:00,3004,4,"",0,,
3_F_450,07:46:00,07:46:00,3005,5,"",0,,
3_F_450,07:50:00,07:50:00,3006,6,"",0,,
