trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
3_F_360,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_375,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_390,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_405,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_420,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_435,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_450,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_465,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_480,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_495,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_510,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_525,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_540,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_555,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_570,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_585,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_600,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_615,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_630,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_645,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_660,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_675,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_690,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_705,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_720,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_735,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_750,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_765,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_780,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_795,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_810,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_825,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_840,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_855,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_870,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_885,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_900,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_915,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_930,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_945,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_960,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_975,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_990,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_1005,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_1020,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_1035,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_1050,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_1065,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_1080,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_1095,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_1110,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_1125,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_1140,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_1155,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_1170,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_1185,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_1200,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_1215,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_1230,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_1245,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_1260,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_1275,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_1290,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_1305,3,3,Luchthaventram,"Luchthaventram",,,,0
3_F_1320,3,3,Luchthaventram,"Luchthaventram",,,,0
2_F_360,2,2,Ringtram,"Ringtram",,,,0
2_F_375,2,2,Ringtram,"Ringtram",,,,0
2_F_390,2,2,Ringtram,"Ringtram",,,,0
2_F_405,2,2,Ringtram,"Ringtram",,,,0
2_F_420,2,2,Ringtram,"Ringtram",,,,0
2_F_435,2,2,Ringtram,"Ringtram",,,,0
2_F_450,2,2,Ringtram,"Ringtram",,,,0
2_F_465,2,2,Ringtram,"Ringtram",,,,0
2_F_480,2,2,Ringtram,"Ringtram",,,,0
2_F_495,2,2,Ringtram,"Ringtram",,,,0
